lat,lon
0.42887,37.64214
0.42067,37.63811
0.41833,37.63941
0.41771,37.64722
0.41401,37.64074
0.4303,37.65918
0.41255,37.6281
0.41676,37.62367
0.40566,37.62834
0.41337,37.6208
0.4547,37.6381
0.43823,37.67327
0.43231,37.6751
0.40874,37.61631
0.40253,37.62139
0.46489,37.63355
0.42442,37.60485
0.4017,37.6106
0.39354,37.6201
0.47101,37.6321
0.47163,37.64195
0.447,37.6035
0.47342,37.62157
0.44659,37.68728
0.42051,37.59515
0.47636,37.63435
0.46675,37.61328
0.46189,37.60675
0.47482,37.61801
0.47651,37.6244
0.46692,37.68477
0.48175,37.63064
0.4807,37.61462
0.45262,37.6991
0.45037,37.58476
0.45567,37.58162
0.38103,37.58865
0.44275,37.57255
0.44546,37.5709
0.37793,37.58281
0.46509,37.7131
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
0.48217,-37.5816
